iter	Logloss
0	0.5953576583
1	0.5032869036
2	0.4251905394
3	0.3635133513
4	0.3089353915
5	0.2677962739
6	0.2318292643
7	0.2004088365
8	0.1769807659
9	0.1539571217
10	0.1341184586
11	0.1183177833
12	0.104729093
13	0.093167104
14	0.08235513244
15	0.0733718509
16	0.06566480562
17	0.05910517309
18	0.05373234001
19	0.04901238359
20	0.04487820589
21	0.04108906175
22	0.03727144787
23	0.03432213677
24	0.03169306147
25	0.02908362997
26	0.02681364575
27	0.02507288292
28	0.02325068071
29	0.02142845775
30	0.02007961384
31	0.018630219
32	0.01737294678
33	0.01639289887
34	0.01559006893
35	0.0145975771
36	0.01387485581
37	0.01335074131
38	0.0128544181
39	0.01229402258
40	0.01177362384
41	0.01133303643
42	0.0108101318
43	0.01049559254
44	0.01006892289
45	0.009947267996
46	0.009675425826
47	0.009449002178
48	0.009369219464
49	0.00912089926
50	0.008831829618
51	0.00865053327
52	0.008545532887
53	0.008305923286
54	0.008286175713
55	0.008072866779
56	0.008051103921
57	0.008027158186
58	0.008021831414
59	0.008006971265
60	0.007942640326
61	0.007709804086
62	0.007694495735
63	0.007683461108
64	0.007534085798
65	0.007478305567
66	0.007402376014
67	0.00739024051
68	0.007221041114
69	0.00719255927
70	0.007152052711
71	0.006995210018
72	0.00691558292
73	0.006904897566
74	0.006743018879
75	0.006573241319
76	0.006562174544
77	0.006393955919
78	0.006384368171
79	0.006272742805
80	0.00620028762
81	0.006043008991
82	0.006041262118
83	0.006025901173
84	0.005989478127
85	0.005969473196
86	0.005892342218
87	0.005882355373
88	0.005755720009
89	0.005629153297
90	0.005471521311
91	0.005383158443
92	0.005359662035
93	0.005249192484
94	0.005210233461
95	0.005114849839
96	0.005048950621
97	0.005038877614
98	0.004957615961
99	0.004938880774
100	0.004929775198
101	0.004815463242
102	0.004778064783
103	0.004761451068
104	0.004750045001
105	0.004660077329
106	0.004517451644
107	0.004433668323
108	0.004384501392
109	0.004265694066
110	0.004259415834
111	0.004126803191
112	0.004044725297
113	0.004035100242
114	0.004014891612
115	0.004003969018
116	0.003973342705
117	0.003916582754
118	0.003905689562
119	0.003810976338
120	0.003773149554
121	0.00376232619
122	0.003647881456
123	0.003559653031
124	0.003541699337
125	0.003493498606
126	0.003397995648
127	0.003357717426
128	0.003274841311
129	0.003195193612
130	0.003187952557
131	0.00318316899
132	0.003178526045
133	0.003133242374
134	0.00309185537
135	0.003057848284
136	0.003034995772
137	0.002981692425
138	0.00292958869
139	0.002923469797
140	0.002919134077
141	0.002891173358
142	0.002814248373
143	0.002778136121
144	0.002754893076
145	0.002748067449
146	0.00273242509
147	0.002667482616
148	0.002657975364
149	0.002599811378
150	0.002578145266
151	0.002533971326
152	0.002484294259
153	0.002455038355
154	0.002418742213
155	0.002389318264
156	0.002385182524
157	0.002379412374
158	0.002350494037
159	0.002331322331
160	0.002307468924
161	0.002289940785
162	0.002240580565
163	0.00222579969
164	0.002223018709
165	0.002220750533
166	0.002205562574
167	0.002200840001
168	0.002167122478
169	0.002122390911
170	0.002080776897
171	0.002056280428
172	0.002042914952
173	0.002027564701
174	0.001994820629
175	0.001965656399
176	0.001961746432
177	0.001945144578
178	0.001913411196
179	0.001910857007
180	0.001879333537
181	0.001855190974
182	0.001850553726
183	0.001826550148
184	0.001800560265
185	0.001790778591
186	0.001739003672
187	0.001737223349
188	0.001714645969
189	0.001686732577
190	0.001685289037
191	0.001678880908
192	0.001667029334
193	0.001652225888
194	0.001650922783
195	0.001624921435
196	0.001623527889
197	0.001620910573
198	0.001618026999
199	0.001610542665
200	0.001581993281
201	0.001563878456
202	0.001559250661
203	0.001547288123
204	0.001546364743
205	0.001519904122
206	0.001512164103
207	0.0015064404
208	0.001496357964
209	0.001495528679
210	0.001494665786
211	0.001493674829
212	0.001492495622
213	0.001472795567
214	0.001464218971
215	0.001464175034
216	0.001453587188
217	0.001433427847
218	0.001420489155
219	0.001419655199
220	0.001403529141
221	0.001403530008
222	0.00137834687
223	0.001373470858
224	0.001364373888
225	0.001350341748
226	0.001349427171
227	0.001346483594
228	0.001333986205
229	0.001316865528
230	0.00130047794
231	0.001282217486
232	0.00127364195
233	0.001256346479
234	0.00125634174
235	0.001241568159
236	0.001240501978
237	0.001239274594
238	0.001227674266
239	0.001213148706
240	0.001212431838
241	0.001190351877
242	0.001189853205
243	0.001181350542
244	0.001180083027
245	0.001160348071
246	0.001159515499
247	0.001158847709
248	0.00115827862
249	0.001158277677
250	0.001153239522
251	0.001151446457
252	0.00114095105
253	0.001139837528
254	0.001134798992
255	0.001119558571
256	0.001104129799
257	0.001090186417
258	0.001089504104
259	0.001081744655
260	0.001069981958
261	0.00106776781
262	0.00105497049
263	0.001030125749
264	0.001027586682
265	0.001027588698
266	0.001027588698
267	0.001017984773
268	0.001017982421
269	0.001013643012
270	0.001005038472
271	0.0009948466912
272	0.0009943559416
273	0.0009938976809
274	0.0009878230243
275	0.0009861336737
276	0.0009793056098
277	0.0009694881315
278	0.0009694870882
279	0.0009675910886
280	0.0009640912668
281	0.0009526384248
282	0.0009414941596
283	0.0009411027431
284	0.0009350996343
285	0.0009350964161
286	0.0009350940112
287	0.0009279436558
288	0.0009213391821
289	0.000915652555
290	0.0009126351144
291	0.0009108870005
292	0.0009036087965
293	0.0009036040929
294	0.0008984152626
295	0.0008964498168
296	0.000888643405
297	0.0008781875915
298	0.0008703033145
299	0.0008699712989
300	0.0008651693534
301	0.0008624751006
302	0.0008603496217
303	0.0008599468174
304	0.000859949157
305	0.0008594611619
306	0.0008594536521
307	0.0008515540758
308	0.0008512486091
309	0.0008361617231
310	0.0008331610205
311	0.0008279406426
312	0.0008204402455
313	0.0008177080099
314	0.0008173404952
315	0.0008103038608
316	0.0008103005242
317	0.0008014960524
318	0.0007969608156
319	0.0007946914763
320	0.0007944420944
321	0.0007944340486
322	0.0007884798813
323	0.0007844127578
324	0.0007820932096
325	0.0007767394027
326	0.0007767376698
327	0.0007752931507
328	0.0007735126614
329	0.0007686141204
330	0.0007686080021
331	0.0007598823663
332	0.0007509902042
333	0.0007429159513
334	0.0007373040643
335	0.0007350070513
336	0.0007350003141
337	0.0007275906875
338	0.0007274208786
339	0.0007244660388
340	0.0007162138555
341	0.0007104884981
342	0.0007104868183
343	0.0007079868183
344	0.0007008280712
345	0.0006987846574
346	0.000685597748
347	0.0006853919875
348	0.0006791544566
349	0.00067915092
350	0.0006767657488
351	0.0006679503001
352	0.0006679453312
353	0.0006679470553
354	0.0006620308898
355	0.0006600935381
356	0.0006539967601
357	0.0006519581459
358	0.0006424522389
359	0.0006424485432
360	0.0006424485432
361	0.0006408805862
362	0.000640879345
363	0.0006408754758
364	0.00063621093
365	0.0006302373093
366	0.0006285414414
367	0.0006285412822
368	0.0006245966509
369	0.0006231984487
370	0.0006195620981
371	0.0006195586853
372	0.0006176769939
373	0.0006156177776
374	0.000615368601
375	0.0006153723675
376	0.000615372951
377	0.0006134949167
378	0.0006080247269
379	0.0006080250629
380	0.0006080228526
381	0.0006027785836
382	0.0006010193789
383	0.0006010206344
384	0.0006010209405
385	0.0005991563206
386	0.0005977556802
387	0.0005936871646
388	0.000592339547
389	0.0005923393701
390	0.0005923393701
391	0.0005923394762
392	0.000585423686
393	0.0005854263385
394	0.0005827672271
395	0.0005827649284
396	0.0005816237479
397	0.0005816229433
398	0.0005797591948
399	0.0005795696041
400	0.0005795670047
401	0.00057956498
402	0.00057956498
403	0.00057956437
404	0.0005750222026
405	0.0005750203051
406	0.000572735936
407	0.000567964319
408	0.000567964319
409	0.0005616269134
410	0.0005616223512
411	0.0005616239426
412	0.0005616241372
413	0.0005596999219
414	0.0005596997043
415	0.0005597002524
416	0.0005597002524
417	0.000559701057
418	0.0005596952659
419	0.0005596941165
420	0.0005596941165
421	0.000559691632
422	0.0005596927583
423	0.0005596871528
424	0.0005596872467
425	0.0005578257938
426	0.0005531027674
427	0.0005510973128
428	0.0005491811859
429	0.0005459053167
430	0.0005459074475
431	0.0005459070496
432	0.000541500702
433	0.0005414988276
